transaction_id,customer_id,amount,status,transaction_time,updated_at,order_date
T00027,C0007,299046.58,PENDING,2024-06-11 02:00:00,2024-06-11 02:24:00,2024-06-11
T00039,C0009,493684.76,FAILED,2024-07-16 13:00:00,2024-07-16 13:14:00,2024-07-16
T00024,C0006,3198357.98,PENDING,2024-06-26 04:00:00,2024-06-26 04:12:00,2024-06-26
T00020,C0005,581613.2,PENDING,2024-07-05 20:00:00,2024-07-05 20:11:00,2024-07-05
T00037,C0009,1079041.67,SUCCESS,2024-08-13 18:00:00,2024-08-13 18:16:00,2024-08-13
T00093,C0018,0,FAILED,2024-07-07 00:00:00,2024-07-07 00:05:00,2024-07-07
T00012,C0003,340281.14,PENDING,2024-07-11 06:00:00,2024-07-11 06:21:00,2024-07-11
T00030,C0008,2121458.32,SUCCESS,2024-08-09 23:00:00,2024-08-09 23:23:00,2024-08-09
T00036,C0009,363578.18,SUCCESS,2024-07-06 21:00:00,2024-07-06 21:16:00,2024-07-06
T00047,C0011,1901075.86,FAILED,2024-07-04 14:00:00,2024-07-04 14:10:00,2024-07-04
T00008,C0002,366298.52,PENDING,2024-06-22 17:00:00,2024-06-22 17:24:00,2024-06-22
T00042,C0010,966034.46,PENDING,2024-07-28 04:00:00,2024-07-28 04:14:00,2024-07-28
T00070,C0016,3189195.75,FAILED,2024-06-21 23:00:00,2024-06-21 23:15:00,2024-06-21
T00078,C0018,3685456.71,FAILED,2024-07-23 21:00:00,2024-07-23 21:28:00,2024-07-23
T00044,C0010,4042031.0,PENDING,2024-06-13 01:00:00,2024-06-13 01:21:00,2024-06-13
T00083,C0020,1400229.27,SUCCESS,2024-07-06 11:00:00,2024-07-06 11:21:00,2024-07-06
T00013,C0004,1984203.19,PENDING,2024-07-29 04:00:00,2024-07-29 04:09:00,2024-07-29
T00038,C0009,1222556.24,FAILED,2024-07-23 06:00:00,2024-07-23 06:04:00,2024-07-23
T00028,C0007,2435092.41,SUCCESS,2024-08-08 04:00:00,2024-08-08 04:05:00,2024-08-08
T00002,C0001,4865847.66,FAILED,2024-06-11 17:00:00,2024-06-11 17:10:00,2024-06-11
T00090,C0005,0,FAILED,2024-08-25 00:00:00,2024-08-25 00:05:00,2024-08-25
T00033,C0008,1131239.71,FAILED,2024-06-03 18:00:00,2024-06-03 18:18:00,2024-06-03
T00097,C9984,51549.81,PENDING,2024-08-24 00:00:00,2024-08-24 00:05:00,2024-08-24
T00062,C0014,2196541.02,PENDING,2024-08-30 09:00:00,2024-08-30 09:20:00,2024-08-30
T00095,C9983,167902.12,FAILED,2024-07-27 00:00:00,2024-07-27 00:05:00,2024-07-27
T00082,C0020,1122388.5,PENDING,2024-06-25 12:00:00,2024-06-25 12:11:00,2024-06-25
T00003,C0001,4148729.27,PENDING,2024-07-17 18:00:00,2024-07-17 18:07:00,2024-07-17
T00076,C0017,4374816.49,PENDING,2024-06-20 07:00:00,2024-06-20 07:28:00,2024-06-20
T00075,C0017,1255153.4,SUCCESS,2024-07-16 17:00:00,2024-07-16 17:29:00,2024-07-16
T00043,C0010,925605.3,FAILED,2024-07-02 02:00:00,2024-07-02 02:15:00,2024-07-02
